,Pokemon1,Pokemon2,Bonus_type_poke1,Bonus_type_poke2,Nb_victory_poke1,Nb_victory_poke2,Mean_nb_turn
106,huntail,vespiquen,0.0,0.0,45.0,55.0,8.05
107,huntail,farfetch'd,0.0,0.0,77.0,23.0,5.83
108,huntail,dodrio,0.0,0.0,77.0,23.0,6.17
109,huntail,staraptor,0.0,0.0,17.0,83.0,6.93
110,huntail,swellow,0.0,0.0,28.0,72.0,8.06
111,huntail,hitmontop,0.0,1.0,17.0,83.0,5.01
112,huntail,noctowl,0.0,0.0,29.0,71.0,8.49
113,huntail,crobat,0.0,0.0,21.0,79.0,7.85
114,huntail,fearow,0.0,0.0,73.0,27.0,6.75
115,huntail,pidgeot,0.0,0.0,67.0,33.0,8.83
116,huntail,feraligatr,0.0,0.0,22.0,78.0,8.8
117,huntail,kabutops,0.0,0.0,19.0,81.0,5.65
118,huntail,dewgong,0.0,-1.0,79.0,21.0,10.25
119,huntail,seaking,0.0,0.0,52.0,48.0,7.34
120,kingdra,skarmory,0.0,0.0,75.0,25.0,6.93
121,kingdra,vespiquen,0.0,0.0,97.0,3.0,7.09
122,kingdra,farfetch'd,0.0,0.0,99.0,1.0,5.1
123,kingdra,dodrio,0.0,0.0,74.0,26.0,6.04
124,kingdra,staraptor,0.0,0.0,23.0,77.0,6.41
125,kingdra,swellow,0.0,0.0,52.0,48.0,10.46
126,kingdra,hitmontop,0.0,0.0,90.0,10.0,4.86
127,kingdra,noctowl,0.0,0.0,85.0,15.0,10.19
128,kingdra,crobat,0.0,0.0,19.0,81.0,8.13
129,kingdra,fearow,0.0,0.0,92.0,8.0,6.84
130,kingdra,pidgeot,0.0,0.0,54.0,46.0,7.74
131,kingdra,feraligatr,0.0,0.0,80.0,20.0,7.42
132,kingdra,kabutops,0.0,0.0,63.0,37.0,5.4
133,kingdra,dewgong,0.0,0.0,92.0,8.0,8.88
134,kingdra,seaking,0.0,0.0,90.0,10.0,7.5
135,kingdra,huntail,0.0,0.0,93.0,7.0,5.73
136,lapras,skarmory,0.0,0.0,95.0,5.0,8.77
137,lapras,vespiquen,1.0,0.0,100.0,0.0,6.96
138,lapras,farfetch'd,1.0,0.0,99.0,1.0,5.59
139,lapras,dodrio,1.0,0.0,93.0,7.0,6.99
140,lapras,staraptor,1.0,0.0,70.0,30.0,8.64
141,lapras,swellow,1.0,0.0,84.0,16.0,11.12
142,lapras,hitmontop,0.0,1.0,61.0,39.0,7.03
143,lapras,noctowl,1.0,0.0,84.0,16.0,13.72
144,lapras,crobat,1.0,0.0,33.0,67.0,12.01
145,lapras,fearow,1.0,0.0,100.0,0.0,7.3
146,lapras,pidgeot,1.0,0.0,96.0,4.0,9.36
147,lapras,feraligatr,-1.0,0.0,24.0,76.0,12.22
148,lapras,kabutops,0.0,1.0,47.0,53.0,7.09
149,lapras,dewgong,-1.0,-1.0,78.0,22.0,24.54
150,lapras,seaking,-1.0,0.0,24.0,76.0,13.2
151,lapras,huntail,-1.0,0.0,87.0,13.0,8.15
152,lapras,kingdra,0.0,0.0,19.0,81.0,11.77
153,lumineon,skarmory,0.0,0.0,36.0,64.0,7.72
154,lumineon,vespiquen,0.0,0.0,21.0,79.0,11.09
155,lumineon,farfetch'd,0.0,0.0,75.0,25.0,6.33
156,lumineon,dodrio,0.0,0.0,18.0,82.0,6.42
157,lumineon,staraptor,0.0,0.0,3.0,97.0,6.31
158,lumineon,swellow,0.0,0.0,20.0,80.0,9.88
159,lumineon,hitmontop,0.0,1.0,17.0,83.0,5.23
160,lumineon,noctowl,0.0,0.0,26.0,74.0,11.62
161,lumineon,crobat,0.0,0.0,2.0,98.0,7.66
162,lumineon,fearow,0.0,0.0,46.0,54.0,8.84
163,lumineon,pidgeot,0.0,0.0,8.0,92.0,8.64
164,lumineon,feraligatr,0.0,0.0,17.0,83.0,8.27
165,lumineon,kabutops,0.0,0.0,31.0,69.0,6.67
166,lumineon,dewgong,0.0,-1.0,62.0,38.0,15.16
167,lumineon,seaking,0.0,0.0,31.0,69.0,8.91
168,lumineon,huntail,0.0,0.0,38.0,62.0,7.8
169,lumineon,kingdra,0.0,0.0,5.0,95.0,7.83
170,lumineon,lapras,0.0,-1.0,21.0,79.0,16.35
171,milotic,skarmory,0.0,0.0,89.0,11.0,7.29
172,milotic,vespiquen,0.0,0.0,79.0,21.0,10.89
173,milotic,farfetch'd,0.0,0.0,97.0,3.0,6.4
174,milotic,dodrio,0.0,0.0,74.0,26.0,6.8
175,milotic,staraptor,0.0,0.0,27.0,73.0,8.15
176,milotic,swellow,0.0,0.0,56.0,44.0,11.4
177,milotic,hitmontop,0.0,1.0,72.0,28.0,5.62
178,milotic,noctowl,0.0,0.0,54.0,46.0,13.92
179,milotic,crobat,0.0,0.0,15.0,85.0,10.03
180,milotic,fearow,0.0,0.0,93.0,7.0,7.79
181,milotic,pidgeot,0.0,0.0,51.0,49.0,9.37
182,milotic,feraligatr,0.0,0.0,82.0,18.0,8.72
183,milotic,kabutops,0.0,0.0,71.0,29.0,6.75
184,milotic,dewgong,0.0,-1.0,97.0,3.0,14.55
185,milotic,seaking,0.0,0.0,71.0,29.0,9.41
186,milotic,huntail,0.0,0.0,86.0,14.0,6.78
187,milotic,kingdra,0.0,0.0,34.0,66.0,9.1
188,milotic,lapras,0.0,-1.0,70.0,30.0,19.78
189,milotic,lumineon,0.0,0.0,91.0,9.0,10.33
190,chatot,skarmory,-1.0,0.0,11.0,89.0,7.61
191,chatot,vespiquen,1.0,0.0,57.0,43.0,8.35
192,chatot,farfetch'd,0.0,0.0,71.0,29.0,6.42
193,chatot,dodrio,0.0,0.0,33.0,67.0,6.27
194,chatot,staraptor,0.0,0.0,5.0,95.0,6.77
195,chatot,swellow,0.0,0.0,24.0,76.0,8.56
196,chatot,hitmontop,1.0,0.0,68.0,32.0,4.88
197,chatot,noctowl,0.0,0.0,26.0,74.0,10.3
198,chatot,crobat,0.0,0.0,4.0,96.0,6.88
199,chatot,fearow,0.0,0.0,42.0,58.0,7.04
200,chatot,pidgeot,0.0,0.0,20.0,80.0,7.78
201,chatot,feraligatr,0.0,0.0,21.0,79.0,8.05
202,chatot,kabutops,-1.0,1.0,4.0,96.0,5.46
203,chatot,dewgong,0.0,1.0,14.0,86.0,10.2
204,chatot,seaking,0.0,0.0,19.0,81.0,8.57
205,chatot,huntail,0.0,0.0,55.0,45.0,6.69
206,chatot,kingdra,0.0,0.0,5.0,95.0,7.51
207,chatot,lapras,0.0,1.0,0.0,100.0,7.74
208,chatot,lumineon,0.0,0.0,39.0,61.0,10.01
209,chatot,milotic,0.0,0.0,0.0,100.0,8.14
210,slowking,skarmory,0.0,0.0,75.0,25.0,7.47
211,slowking,vespiquen,0.0,1.0,36.0,64.0,9.8
212,slowking,farfetch'd,0.0,0.0,93.0,7.0,6.55
213,slowking,dodrio,0.0,0.0,73.0,27.0,6.73
214,slowking,staraptor,0.0,0.0,25.0,75.0,8.25
215,slowking,swellow,0.0,0.0,47.0,53.0,11.43
216,slowking,hitmontop,1.0,0.0,88.0,12.0,5.46
217,slowking,noctowl,0.0,0.0,46.0,54.0,11.84
218,slowking,crobat,1.0,0.0,16.0,84.0,8.8
219,slowking,fearow,0.0,0.0,90.0,10.0,7.28
220,slowking,pidgeot,0.0,0.0,56.0,44.0,8.76
221,slowking,feraligatr,0.0,0.0,32.0,68.0,8.3
222,slowking,kabutops,0.0,0.0,54.0,46.0,6.52
223,slowking,dewgong,0.0,-1.0,79.0,21.0,14.73
224,slowking,seaking,0.0,0.0,32.0,68.0,8.6
225,slowking,huntail,0.0,0.0,68.0,32.0,7.28
226,slowking,kingdra,0.0,0.0,23.0,77.0,9.17
227,slowking,lapras,0.0,-1.0,48.0,52.0,18.08
228,slowking,lumineon,0.0,0.0,85.0,15.0,10.03
229,slowking,milotic,0.0,0.0,41.0,59.0,13.69
230,slowking,chatot,0.0,0.0,94.0,6.0,9.02
231,gorebyss,skarmory,0.0,0.0,91.0,9.0,7.29
232,gorebyss,vespiquen,0.0,0.0,57.0,43.0,7.49
233,gorebyss,farfetch'd,0.0,0.0,82.0,18.0,5.58
234,gorebyss,dodrio,0.0,0.0,77.0,23.0,6.07
235,gorebyss,staraptor,0.0,0.0,19.0,81.0,6.97
236,gorebyss,swellow,0.0,0.0,22.0,78.0,8.72
237,gorebyss,hitmontop,0.0,1.0,36.0,64.0,4.7
238,gorebyss,noctowl,0.0,0.0,21.0,79.0,9.01
239,gorebyss,crobat,0.0,0.0,14.0,86.0,8.5
240,gorebyss,fearow,0.0,0.0,84.0,16.0,6.84
241,gorebyss,pidgeot,0.0,0.0,74.0,26.0,8.0
242,gorebyss,feraligatr,0.0,0.0,56.0,44.0,7.66
243,gorebyss,kabutops,0.0,0.0,36.0,64.0,5.4
244,gorebyss,dewgong,0.0,-1.0,69.0,31.0,10.59
245,gorebyss,seaking,0.0,0.0,54.0,46.0,7.2
246,gorebyss,huntail,0.0,0.0,82.0,18.0,5.76
247,gorebyss,kingdra,0.0,0.0,5.0,95.0,5.91
248,gorebyss,lapras,0.0,-1.0,5.0,95.0,7.97
249,gorebyss,lumineon,0.0,0.0,66.0,34.0,7.28
250,gorebyss,milotic,0.0,0.0,2.0,98.0,7.1
251,gorebyss,chatot,0.0,0.0,38.0,62.0,6.9
252,gorebyss,slowking,0.0,0.0,9.0,91.0,7.61
253,politoed,skarmory,0.0,0.0,66.0,34.0,8.24
254,politoed,vespiquen,0.0,0.0,52.0,48.0,11.7
255,politoed,farfetch'd,0.0,0.0,90.0,10.0,6.7
256,politoed,dodrio,0.0,0.0,51.0,49.0,6.65
257,politoed,staraptor,0.0,0.0,12.0,88.0,8.0
258,politoed,swellow,0.0,0.0,42.0,58.0,11.46
259,politoed,hitmontop,0.0,1.0,20.0,80.0,5.76
260,politoed,noctowl,0.0,0.0,52.0,48.0,13.1
261,politoed,crobat,0.0,0.0,12.0,88.0,9.26
262,politoed,fearow,0.0,0.0,79.0,21.0,8.65
263,politoed,pidgeot,0.0,0.0,52.0,48.0,9.8
264,politoed,feraligatr,0.0,0.0,30.0,70.0,8.82
265,politoed,kabutops,0.0,0.0,33.0,67.0,6.53
266,politoed,dewgong,0.0,-1.0,79.0,21.0,15.17
267,politoed,seaking,0.0,0.0,34.0,66.0,9.04
268,politoed,huntail,0.0,0.0,75.0,25.0,7.71
269,politoed,kingdra,0.0,0.0,16.0,84.0,9.38
270,politoed,lapras,0.0,-1.0,79.0,21.0,20.63
271,politoed,lumineon,0.0,0.0,70.0,30.0,11.3
272,politoed,milotic,0.0,0.0,28.0,72.0,12.8
273,politoed,chatot,0.0,0.0,94.0,6.0,9.34
274,politoed,slowking,0.0,0.0,63.0,37.0,12.25
275,politoed,gorebyss,0.0,0.0,87.0,13.0,7.71
276,lucario,skarmory,0.0,0.0,95.0,5.0,5.63
277,lucario,vespiquen,0.0,0.0,85.0,15.0,8.23
278,lucario,farfetch'd,0.0,0.0,100.0,0.0,3.38
279,lucario,dodrio,0.0,0.0,76.0,24.0,4.58
280,lucario,staraptor,0.0,0.0,35.0,65.0,5.91
281,lucario,swellow,0.0,0.0,56.0,44.0,8.46
282,lucario,hitmontop,1.0,1.0,92.0,8.0,3.24
283,lucario,noctowl,0.0,0.0,91.0,9.0,7.49
284,lucario,crobat,0.0,0.0,11.0,89.0,7.21
285,lucario,fearow,0.0,0.0,95.0,5.0,5.51
286,lucario,pidgeot,0.0,0.0,68.0,32.0,6.36
287,lucario,feraligatr,1.0,0.0,94.0,6.0,5.42
288,lucario,kabutops,1.0,0.0,97.0,3.0,3.59
289,lucario,dewgong,1.0,0.0,95.0,5.0,6.45
290,lucario,seaking,1.0,0.0,95.0,5.0,5.09
291,lucario,huntail,1.0,0.0,99.0,1.0,3.63
292,lucario,kingdra,0.0,0.0,71.0,29.0,5.83
293,lucario,lapras,1.0,0.0,75.0,25.0,7.87
294,lucario,lumineon,1.0,0.0,98.0,2.0,4.98
295,lucario,milotic,1.0,0.0,83.0,17.0,6.19
296,lucario,chatot,0.0,0.0,96.0,4.0,5.54
297,lucario,slowking,-1.0,0.0,49.0,51.0,7.99
298,lucario,gorebyss,1.0,0.0,97.0,3.0,3.37
299,lucario,politoed,1.0,0.0,95.0,5.0,5.99
300,abomasnow,skarmory,0.0,1.0,41.0,59.0,7.81
301,abomasnow,vespiquen,1.0,1.0,85.0,15.0,7.93
302,abomasnow,farfetch'd,1.0,1.0,95.0,5.0,5.13
303,abomasnow,dodrio,1.0,1.0,62.0,38.0,5.7
304,abomasnow,staraptor,1.0,1.0,21.0,79.0,6.47
305,abomasnow,swellow,1.0,1.0,49.0,51.0,9.01
306,abomasnow,hitmontop,0.0,1.0,19.0,81.0,5.83
307,abomasnow,noctowl,1.0,1.0,64.0,36.0,8.48
308,abomasnow,crobat,1.0,1.0,21.0,79.0,7.39
309,abomasnow,fearow,1.0,1.0,90.0,10.0,6.1
310,abomasnow,pidgeot,1.0,1.0,58.0,42.0,7.68
311,abomasnow,feraligatr,1.0,0.0,48.0,52.0,8.48
312,abomasnow,kabutops,2.0,1.0,53.0,47.0,5.09
313,abomasnow,dewgong,1.0,0.0,87.0,13.0,9.67
314,abomasnow,seaking,1.0,0.0,76.0,24.0,7.06
315,abomasnow,huntail,1.0,0.0,84.0,16.0,6.66
316,abomasnow,kingdra,0.0,0.0,25.0,75.0,8.29
317,abomasnow,lapras,1.0,0.0,28.0,72.0,9.66
318,abomasnow,lumineon,1.0,0.0,97.0,3.0,7.83
319,abomasnow,milotic,1.0,0.0,68.0,32.0,9.14
320,abomasnow,chatot,1.0,1.0,88.0,12.0,6.9
321,abomasnow,slowking,1.0,0.0,91.0,9.0,8.27
322,abomasnow,gorebyss,1.0,0.0,86.0,14.0,6.42
323,abomasnow,politoed,1.0,0.0,82.0,18.0,9.2
324,abomasnow,lucario,-1.0,1.0,1.0,99.0,5.67
325,weavile,skarmory,0.0,1.0,78.0,22.0,6.1
326,weavile,vespiquen,1.0,1.0,95.0,5.0,4.51
327,weavile,farfetch'd,1.0,0.0,100.0,0.0,3.12
328,weavile,dodrio,1.0,0.0,100.0,0.0,3.68
329,weavile,staraptor,1.0,0.0,91.0,9.0,5.43
330,weavile,swellow,1.0,0.0,82.0,18.0,8.59
331,weavile,hitmontop,0.0,2.0,89.0,11.0,4.53
332,weavile,noctowl,1.0,0.0,96.0,4.0,6.68
333,weavile,crobat,1.0,0.0,49.0,51.0,9.11
334,weavile,fearow,1.0,0.0,98.0,2.0,4.14
335,weavile,pidgeot,1.0,0.0,92.0,8.0,5.7
336,weavile,feraligatr,0.0,0.0,86.0,14.0,6.98
337,weavile,kabutops,0.0,1.0,89.0,11.0,5.09
338,weavile,dewgong,0.0,0.0,95.0,5.0,7.13
339,weavile,seaking,0.0,0.0,91.0,9.0,5.95
340,weavile,huntail,0.0,0.0,96.0,4.0,5.58
341,weavile,kingdra,0.0,0.0,98.0,2.0,5.82
342,weavile,lapras,0.0,0.0,87.0,13.0,9.53
343,weavile,lumineon,0.0,0.0,92.0,8.0,5.72
344,weavile,milotic,0.0,0.0,94.0,6.0,7.56
345,weavile,chatot,1.0,0.0,100.0,0.0,4.74
346,weavile,slowking,1.0,0.0,96.0,4.0,5.74
347,weavile,gorebyss,0.0,0.0,93.0,7.0,6.01
348,weavile,politoed,0.0,0.0,90.0,10.0,6.92
349,weavile,lucario,-1.0,2.0,51.0,49.0,6.05
350,weavile,abomasnow,0.0,0.0,91.0,9.0,7.39
351,alolan sandslash,skarmory,0.0,0.0,73.0,27.0,13.25
352,alolan sandslash,vespiquen,1.0,-1.0,95.0,5.0,7.73
353,alolan sandslash,farfetch'd,1.0,-1.0,98.0,2.0,5.14
354,alolan sandslash,dodrio,1.0,-1.0,98.0,2.0,6.54
355,alolan sandslash,staraptor,1.0,-1.0,100.0,0.0,8.5
356,alolan sandslash,swellow,1.0,-1.0,61.0,39.0,9.47
357,alolan sandslash,hitmontop,0.0,2.0,7.0,93.0,5.77
358,alolan sandslash,noctowl,1.0,-1.0,79.0,21.0,9.35
359,alolan sandslash,crobat,1.0,-1.0,53.0,47.0,9.69
360,alolan sandslash,fearow,1.0,-1.0,95.0,5.0,6.55
361,alolan sandslash,pidgeot,1.0,-1.0,92.0,8.0,8.76
362,alolan sandslash,feraligatr,-1.0,0.0,4.0,96.0,10.42
363,alolan sandslash,kabutops,0.0,0.0,28.0,72.0,8.28
364,alolan sandslash,dewgong,0.0,0.0,38.0,62.0,10.1
365,alolan sandslash,seaking,-1.0,0.0,38.0,62.0,9.32
366,alolan sandslash,huntail,-1.0,0.0,4.0,96.0,9.72
367,alolan sandslash,kingdra,0.0,0.0,11.0,89.0,6.71
368,alolan sandslash,lapras,0.0,0.0,1.0,99.0,6.99
369,alolan sandslash,lumineon,-1.0,0.0,37.0,63.0,10.15
370,alolan sandslash,milotic,-1.0,0.0,0.0,100.0,7.28
371,alolan sandslash,chatot,1.0,-1.0,87.0,13.0,7.33
372,alolan sandslash,slowking,-1.0,0.0,9.0,91.0,8.47
373,alolan sandslash,gorebyss,-1.0,0.0,0.0,100.0,7.74
374,alolan sandslash,politoed,-1.0,0.0,4.0,96.0,8.78
375,alolan sandslash,lucario,-1.0,2.0,0.0,100.0,3.64
376,alolan sandslash,abomasnow,1.0,-1.0,86.0,14.0,9.0
377,alolan sandslash,weavile,1.0,0.0,35.0,65.0,7.51
378,cursola,skarmory,0.0,0.0,38.0,62.0,5.66
379,cursola,vespiquen,0.0,0.0,32.0,68.0,6.06
380,cursola,farfetch'd,0.0,0.0,62.0,38.0,4.94
381,cursola,dodrio,0.0,0.0,36.0,64.0,5.02
382,cursola,staraptor,0.0,0.0,8.0,92.0,5.28
383,cursola,swellow,0.0,0.0,18.0,82.0,6.86
384,cursola,hitmontop,0.0,-999.0,100.0,0.0,6.06
385,cursola,noctowl,0.0,0.0,21.0,79.0,7.79
386,cursola,crobat,0.0,0.0,9.0,91.0,5.29
387,cursola,fearow,0.0,0.0,45.0,55.0,5.73
388,cursola,pidgeot,0.0,0.0,18.0,82.0,6.04
389,cursola,feraligatr,0.0,0.0,6.0,94.0,5.8
390,cursola,kabutops,0.0,0.0,13.0,87.0,4.11
391,cursola,dewgong,0.0,0.0,35.0,65.0,7.37
392,cursola,seaking,0.0,0.0,6.0,94.0,4.44
393,cursola,huntail,0.0,0.0,32.0,68.0,5.32
394,cursola,kingdra,0.0,0.0,24.0,76.0,6.36
395,cursola,lapras,0.0,0.0,20.0,80.0,7.64
396,cursola,lumineon,0.0,0.0,55.0,45.0,6.45
397,cursola,milotic,0.0,0.0,16.0,84.0,8.62
398,cursola,chatot,0.0,0.0,57.0,43.0,7.39
399,cursola,slowking,1.0,0.0,45.0,55.0,7.03
400,cursola,gorebyss,0.0,0.0,48.0,52.0,5.82
401,cursola,politoed,0.0,0.0,30.0,70.0,7.22
402,cursola,lucario,0.0,0.0,20.0,80.0,5.46
403,cursola,abomasnow,0.0,0.0,17.0,83.0,6.49
404,cursola,weavile,0.0,1.0,3.0,97.0,3.53
405,cursola,alolan sandslash,0.0,0.0,17.0,83.0,5.69
406,gengar,skarmory,0.0,0.0,54.0,46.0,5.91
407,gengar,vespiquen,0.0,0.0,71.0,29.0,6.13
408,gengar,farfetch'd,0.0,0.0,85.0,15.0,4.63
409,gengar,dodrio,0.0,0.0,25.0,75.0,5.11
410,gengar,staraptor,0.0,0.0,19.0,81.0,6.11
411,gengar,swellow,0.0,0.0,19.0,81.0,6.73
412,gengar,hitmontop,0.0,-1000.0,100.0,0.0,4.82
413,gengar,noctowl,0.0,0.0,42.0,58.0,8.2
414,gengar,crobat,0.0,0.0,2.0,98.0,4.92
415,gengar,fearow,0.0,0.0,77.0,23.0,5.57
416,gengar,pidgeot,0.0,0.0,34.0,66.0,6.09
417,gengar,feraligatr,0.0,0.0,31.0,69.0,6.47
418,gengar,kabutops,0.0,0.0,73.0,27.0,5.03
419,gengar,dewgong,0.0,0.0,49.0,51.0,7.71
420,gengar,seaking,0.0,0.0,45.0,55.0,6.07
421,gengar,huntail,0.0,0.0,68.0,32.0,5.32
422,gengar,kingdra,0.0,0.0,27.0,73.0,5.89
423,gengar,lapras,0.0,0.0,23.0,77.0,9.21
424,gengar,lumineon,0.0,0.0,84.0,16.0,6.18
425,gengar,milotic,0.0,0.0,7.0,93.0,8.19
426,gengar,chatot,0.0,0.0,77.0,23.0,6.49
427,gengar,slowking,1.0,1.0,32.0,68.0,6.24
428,gengar,gorebyss,0.0,0.0,73.0,27.0,5.25
429,gengar,politoed,0.0,0.0,48.0,52.0,7.4
430,gengar,lucario,0.0,0.0,58.0,42.0,5.56
431,gengar,abomasnow,1.0,0.0,67.0,33.0,5.83
432,gengar,weavile,0.0,1.0,1.0,99.0,3.47
